type,id,email,passwordHash,isEmailVerified,userId,balance,currency,accountType,isDefault,status,isoCode,name,maskedCardNumber,cardHolderName,expirationMonth,expirationYear,paymentToken,iban,bankName,swiftCode,userAccountId,paymentMethodId,amount
COUNTRY,216086ca-2c3d-4ccc-8f84-56833faa8f80,,,,,,PLN,,,,US,Iraq,,,,,,,,,,,
COUNTRY,c2788f73-6091-486a-a008-20dad7c5b4cf,,,,,,UAH,,,,UA,Grenada,,,,,,,,,,,
COUNTRY,1dd4cc69-20bb-4378-a4d5-a7e49f495103,,,,,,GBP,,,,GB,Georgia,,,,,,,,,,,
COUNTRY,12b2250f-e27c-4038-8cde-c822fad2cf0d,,,,,,PLN,,,,PL,Honduras,,,,,,,,,,,
COUNTRY,fade8541-2bc0-4f3a-8dce-0f5148199330,,,,,,GBP,,,,DE,Antigua and Barbuda,,,,,,,,,,,
COUNTRY,e9b21809-745d-48f3-9b95-ad8b39d339a6,,,,,,PLN,,,,FR,Falkland Islands (Malvinas),,,,,,,,,,,
COUNTRY,7ce48ebc-bd3d-493f-abb4-bdfa521cfd64,,,,,,PLN,,,,IT,Ukraine,,,,,,,,,,,
COUNTRY,ba85f4e0-d250-4be6-9f05-403799589993,,,,,,UAH,,,,ES,Saudi Arabia,,,,,,,,,,,
COUNTRY,b498259e-45f6-43aa-a5e4-0325cf3a8f56,,,,,,EUR,,,,CA,Lithuania,,,,,,,,,,,
COUNTRY,081278ce-8c2e-4fd6-86b4-3949713db168,,,,,,EUR,,,,AU,Sweden,,,,,,,,,,,
COUNTRY,4c4ceef3-09c4-44f5-8708-c678876732e4,,,,,,GBP,,,,JP,Bahrain,,,,,,,,,,,
COUNTRY,c1a588fa-8a8e-49bd-9809-1483e33544e9,,,,,,GBP,,,,CN,New Zealand,,,,,,,,,,,
COUNTRY,7eea7fb6-b0b6-4c70-96bc-69b0870c18c2,,,,,,EUR,,,,BR,Bermuda,,,,,,,,,,,
COUNTRY,6c95f950-44c0-4665-bb75-5a3a37a8383a,,,,,,PLN,,,,MX,Uzbekistan,,,,,,,,,,,
COUNTRY,64ac93c7-cd96-4249-b9fd-674eb3a11bc8,,,,,,UAH,,,,IN,Guatemala,,,,,,,,,,,
COUNTRY,264ffe27-158b-42d0-a2a6-b6c264ccc565,,,,,,EUR,,,,KR,Fiji,,,,,,,,,,,
COUNTRY,027b2ce2-b973-44cf-81c8-3859fb3451cf,,,,,,EUR,,,,SE,Yemen,,,,,,,,,,,
COUNTRY,556243bc-ab0a-46eb-83ac-c999ea2a09f4,,,,,,UAH,,,,NO,Lebanon,,,,,,,,,,,
COUNTRY,685932e5-bf3c-412f-8a6f-4b2fd1ceb71a,,,,,,GBP,,,,CH,Yemen,,,,,,,,,,,
COUNTRY,1b5a132e-73ac-45a9-a9f3-15f1ae5d0c3f,,,,,,EUR,,,,NL,United Arab Emirates,,,,,,,,,,,
COUNTRY,41b6c2f2-2a91-4724-a0d3-14227b14aa68,,,,,,EUR,,,,BE,Saint Kitts and Nevis,,,,,,,,,,,
COUNTRY,5acab9db-6892-44e3-b825-33613b993cbb,,,,,,EUR,,,,AT,South Africa,,,,,,,,,,,
COUNTRY,4b1edd60-1266-4e6d-a125-09b86df63ceb,,,,,,GBP,,,,PT,Bulgaria,,,,,,,,,,,
COUNTRY,043cbe37-a49c-4996-a754-fc894e17d8b4,,,,,,UAH,,,,CZ,Belarus,,,,,,,,,,,
COUNTRY,90a3090a-eac2-4962-a853-0b585ff200bc,,,,,,USD,,,,HU,Netherlands,,,,,,,,,,,
COUNTRY,d644505b-0c96-4691-bc23-ba4b3e8be21f,,,,,,GBP,,,,RO,Qatar,,,,,,,,,,,
COUNTRY,d2c46895-f735-4bc4-9fce-3cee651eebec,,,,,,UAH,,,,BG,North Macedonia,,,,,,,,,,,
COUNTRY,2b671689-f89d-4def-a63d-312eaa3515ee,,,,,,GBP,,,,HR,Kazakhstan,,,,,,,,,,,
COUNTRY,084cad36-e7de-4ba8-99ef-2f70f3d435d4,,,,,,GBP,,,,SK,Slovenia,,,,,,,,,,,
COUNTRY,e269f128-fd9b-40b4-8c9e-d1aaa7327676,,,,,,UAH,,,,SI,Eritrea,,,,,,,,,,,
USER,e162080b-afdb-41b4-8f4f-66c0078d8d9e,Jessie24@hotmail.com,lInYbvOSloB7hWF2VND1r7JWi5ORoNysvgBuHBAcIfJM6mkFdLuuCFfc704M,true,,,,,,,,,,,,,,,,,,,
USER,9241662b-a620-4f27-ba35-4c1569a66650,Jon_Hartmann64@gmail.com,jVMR0EBwsMaTMlHduYwZkGg3ML8rXZslMjMVZjxB4MTGCuyNzoWsDaaoflOs,true,,,,,,,,,,,,,,,,,,,
USER,977bec70-03a8-4ae0-8021-81b06ba55999,Christopher_Daugherty86@yahoo.com,GC0AWbiBR1nAb3jYBDfLPz64Q6GgD5rExlvDgm2N6aDy9dYxJIjnSQqRbHCh,true,,,,,,,,,,,,,,,,,,,
USER,da9991e3-27f3-4f10-9581-36f8e0b2de36,Jenifer_Kautzer@yahoo.com,mCIlKQI2s2bB6vf31yvfhWM3M15XOwstkxefKoUnMBaqE1X0OU9ygA8HDeGD,true,,,,,,,,,,,,,,,,,,,
USER,00d99403-5d5d-409b-ac87-0acdf908b835,Aiyana_Keeling@gmail.com,93Kb2AI3J8W4dzHYiRK7MTKWf0CXjb4E9JzbYPWcoEDtzewmttB0Xkfrpfi4,true,,,,,,,,,,,,,,,,,,,
USER,c045a1ae-2ca5-45e5-b079-58a72cb34f99,Mervin9@gmail.com,yGCMnGo9B277AaI1wJObRp1CxnFNnhWB3Mfiya2INo3LIljCpYHssNQoiaA8,false,,,,,,,,,,,,,,,,,,,
USER,94117c37-1bb0-4109-abdc-502e9af34ca9,Bessie.Effertz@gmail.com,ksKwibduu1q6PoJaZJQr4jZ79gewb5ydTgI3Ti14ZATXgGMrABG3vGNCbxc3,true,,,,,,,,,,,,,,,,,,,
USER,b79fec52-e4b1-41d6-a05c-965f559fd32e,Dianne.Pagac94@hotmail.com,lwLC597ffTktXe1AgphDWcPtbLHhKjYhZg5esoRhQgSDBIc7iZXhESAALzCh,true,,,,,,,,,,,,,,,,,,,
USER,59df0ce8-2b45-4db3-a6cd-78839e5be208,Adrian71@gmail.com,Nz8TMxIEf9bj87gZEZ6tL6qAUEcO6TUskuwSR2JEWecI8e1s8OQCnriBglrA,true,,,,,,,,,,,,,,,,,,,
USER,d9176286-8e21-4150-a660-51e470862f3e,Shany_Auer@gmail.com,Me4ybzychiZ8skA2M6gsTafUh4DL61mgFVxOjO29a91wQTMbT6NemMTwxVXp,false,,,,,,,,,,,,,,,,,,,
USER,3f7190b7-0ca4-4e04-9cf0-9aa0f61e1191,Michelle.Kulas@hotmail.com,mq85HIKbbbOQwS9TLFiNJFgez7hk6onAQtzUDV93x7COqWgksM9ygHZANXSl,true,,,,,,,,,,,,,,,,,,,
USER,81d6d99d-c9ad-4542-a90f-a276d7df721c,Josefina20@yahoo.com,m8CcNVMljxWTtwVLWsA4oFNHQKE6mm3cdrf0MwXdEhrAMcQHNOCRzfURXRWJ,true,,,,,,,,,,,,,,,,,,,
USER,20e5a2f2-7482-4676-9660-4692f0c1e002,Leo12@yahoo.com,mZNFAkHZ3QTWqx34Jkc0DGoZId8j1yWTA05HWVpHcoL1vxoT5BYRaO3A5doq,true,,,,,,,,,,,,,,,,,,,
USER,894e4f40-c67e-4285-95bf-72d0e7f5cff0,Rusty30@hotmail.com,wXV5CjTgmlY3UBDKCTGdAldczZxjLXYavFsL7XMy3YVHG8il3sfD5sQFzgWc,true,,,,,,,,,,,,,,,,,,,
USER,ea354d34-66e9-44b8-9327-069900291e49,Tyree78@yahoo.com,oYKTu3IkcpWPRETtH1EcuwEZX7vXohsNIbN2YtRJFjSafdbOukEtgo9PlbgN,true,,,,,,,,,,,,,,,,,,,
USER,70418e97-b2a2-44cd-89db-485f50c21214,Micheal.Abshire@hotmail.com,cTQV625rnx4zpALSKCr6Q15pcIc3b73rdWJziTAR5wlFvNDT4Vs5sZbiodjo,false,,,,,,,,,,,,,,,,,,,
USER,2edb81da-9cf7-4c15-920c-75445c9e7d9e,Rosamond.Little@gmail.com,u3hhvsT6UPve4KfHYcxBsHDundeSSo67KC7fkC7lA2JxcDk3q6e0afvK1GQR,false,,,,,,,,,,,,,,,,,,,
USER,bd485b6c-840a-455a-962f-f34e95accc71,Noel_Hintz@hotmail.com,KG90mVtzTRsxJpTmqRIp8gyoJZUgpgV4ri8glC0oYeaPbu2PvKjjkgbhWoQN,true,,,,,,,,,,,,,,,,,,,
USER,fbee562a-babe-4cc7-892d-dd91ae6b6a77,Jeanne75@hotmail.com,hZcw3tbFUC5pXT1hudzCvdE2YOQ6A7nY5tVKOtKWaCGIC6sdwft8iGxxCcQ9,false,,,,,,,,,,,,,,,,,,,
USER,c8aadc84-83bb-44f8-90aa-7fdb824e646c,June_Jakubowski68@hotmail.com,ByjJ7Fr9xWtJ4goJuKovccWQspi3IGU4D3BGp9fdDXPQuhpLlooAIDxOyWTS,true,,,,,,,,,,,,,,,,,,,
USER,4e5e5ae5-9c98-46eb-8d64-e5fa5f3b93c6,Christy.Batz73@yahoo.com,2K58kDHrMRwtVgJIZ4oKNUFkXyjsyDrInZffok3lIiMNck5eJehLXMhftSjE,false,,,,,,,,,,,,,,,,,,,
USER,e22ee750-cacf-4fe8-acf8-11a392b29912,Johanna80@hotmail.com,89J1uJ0P1Bv8G5OfDbkWk03PKCVIan4hkjyreRYOEfd1TEbNifsDZ02olODw,false,,,,,,,,,,,,,,,,,,,
USER,1f5d399d-7509-40bf-ad3a-909a375036f3,Cydney86@hotmail.com,ilACN1rN1txdWz5xcEqWiPklE0uutcJf0rfCJyzBeLr75wjvq1tDE1c3jAe8,false,,,,,,,,,,,,,,,,,,,
USER,279973ec-6b39-43ac-a15b-c8aba50e1628,Gustavo50@hotmail.com,8Byzwy7jgGbgUC6DTZliuEFnFDqgAJNtc9bhSqIXJcufS7aoF8cgkc1iNUuk,true,,,,,,,,,,,,,,,,,,,
USER,16b78ac7-e738-429a-b4a5-0c5798f067ba,Neil64@hotmail.com,fswyy9MGIKuNpVJUMvpOMBhBIkIyZw2NSNz9B8iKskz1tZcfTFsO74wSbPBf,true,,,,,,,,,,,,,,,,,,,
USER,48d3f296-4e90-4421-a63f-4fc196d3d88c,Betty_Marquardt32@hotmail.com,QZI8itRFSzkZ0cpb29WhD7QyN2of0AYLL8P0S1xpRbL0ycFteTOOPShVK0WZ,true,,,,,,,,,,,,,,,,,,,
USER,2ce44bf1-d5c8-4b6b-9c5b-9199790c1ac2,Kelley20@yahoo.com,T6evMSvmpucOtUXYfSzqfDBMPFo2QUvyBhcZgDoM69rD8yHDNl9wpT6E0Wq1,false,,,,,,,,,,,,,,,,,,,
USER,b80822ff-e1fe-4456-8c60-96c854cc5836,Tomas_Auer@hotmail.com,t6t99LOpVslYeZkdcWgHFQq1LGiGbeCLqDWyhRUxxeNv6belZ6KemkAUpHif,false,,,,,,,,,,,,,,,,,,,
USER,dac7c25c-1989-474e-99a0-725d4a36ea40,Sheryl.Rice-Zboncak41@gmail.com,9pHwNkIc6N09eGtecKSAlr3EjRAc51hqBxYjcUrLMxzrtLkkV2sZ8lCcSGqA,false,,,,,,,,,,,,,,,,,,,
USER,2b31880b-cc45-4e78-929c-6fbb53d062f3,Catherine.Gerhold@hotmail.com,6rwpHRY5efsSv21L1YrV8pRNuVFZm1QJVGDAoYiUm3v1gxBtADTrnX0wwM0i,false,,,,,,,,,,,,,,,,,,,
USER,6926c80a-ad8e-4b61-9fed-a94158156b46,Leo_Schmitt@hotmail.com,HyheVxz6phgwEfekK9KVyJjRrsGCqTYdfXVraAhdLGSBkiPOsiJBtuJ2vmmE,true,,,,,,,,,,,,,,,,,,,
USER,ad7f6057-2075-4b00-8371-69bcdcc383ea,Margaret57@gmail.com,lqKlIVsQSAT6uYOm9QiS9PEkTfV4RWLIMHwKpdSx6dj185eymJKUqSlinva1,true,,,,,,,,,,,,,,,,,,,
USER,b5cfa3a3-dd2d-4d75-a0a5-bc8155666f0a,Wilbur17@hotmail.com,SWIW66lq5oDNQax7Fpwbt8OYSxLXZ4ya4lB4DPezETJCkPGs46eoc6AawqpF,true,,,,,,,,,,,,,,,,,,,
USER,db31d736-d0ba-417f-9755-6d137382f5a5,Andrea29@hotmail.com,aBVrQLCGwGuZkQA1dxvk6OPtK0Pf2JtprFei1W60TXKkGP0ftGAnKmQZYJtG,false,,,,,,,,,,,,,,,,,,,
USER,5def6e19-38a4-4fe2-bca9-44ac78b69b02,Eva_Schowalter-Macejkovic@yahoo.com,lq1lyYz2Fl8oPJW0Rf533KtKfcBRnHk5OUpJnyFNBSElDxQprgdcDoJw8Qgy,true,,,,,,,,,,,,,,,,,,,
USER,a1e67214-d689-4177-847d-15863c25e1aa,Al.Senger@hotmail.com,Sid3IVaXfhgfC8kxIamSX6MXZDbyCiaG587Z1U10XaOsVlZiZM9nwQSq2t7c,true,,,,,,,,,,,,,,,,,,,
USER,2c01a5ad-cb84-47dc-a159-513c54fecfae,Marta_Kirlin@gmail.com,BQ7Q86FgouopWZPYb9Qqe0qIG9ozFWwzFYxp79D32jg5JVGR63RVqzr487zd,false,,,,,,,,,,,,,,,,,,,
USER,c4eb9284-21bc-42c5-afc8-a61d5ebb164a,Corine.Franecki@yahoo.com,MexhjvSfLDBfMIf8vHo3BF82ZYi0ZA7gJmIMsTk0KkIf1uhzgEnCRy3d4KWb,true,,,,,,,,,,,,,,,,,,,
